"studyName","Event Number","Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Julian day","Station name","Percent_Irradiance (%)","Depth (m)","Primary Prod. (mg/m³/day)","Prim Prod STD (mg/m³/day)","Notes"
PAL9495,,"1995-01-02 13:50:00",-64.80695,-64.05055,2,d,100,1,13.93,1.87,
PAL9495,,"1995-01-02 13:50:00",-64.80695,-64.05055,2,d,55,12,15.51,6.15,
PAL9495,,"1995-01-02 13:50:00",-64.80695,-64.05055,2,d,27,21,13.93,2.54,
PAL9495,,"1995-01-02 13:50:00",-64.80695,-64.05055,2,d,11,36,10.58,-999,
PAL9495,,"1995-01-02 13:50:00",-64.80695,-64.05055,2,d,5,48,4.95,0.07,
PAL9495,,"1995-01-02 13:50:00",-64.80695,-64.05055,2,d,2,64,2.8,0.24,
PAL9495,,"1995-01-02 13:00:00",-64.80138,-64.04028,2,e,100,1,8.23,1.27,
PAL9495,,"1995-01-02 13:00:00",-64.80138,-64.04028,2,e,55,11,16.98,3.13,
PAL9495,,"1995-01-02 13:00:00",-64.80138,-64.04028,2,e,27,21,13.65,3.06,
PAL9495,,"1995-01-02 13:00:00",-64.80138,-64.04028,2,e,11,34,9.5,-999,
PAL9495,,"1995-01-02 13:00:00",-64.80138,-64.04028,2,e,5,45,5.89,0.69,
PAL9495,,"1995-01-02 13:00:00",-64.80138,-64.04028,2,e,2,58,3.59,0.25,
PAL9495,,"1995-02-13 17:00:00",-64.77917,-64.07167,44,b,100,1,23.19,10.49,
PAL9495,,"1995-02-13 17:00:00",-64.77917,-64.07167,44,b,55,2,52.31,7.03,
PAL9495,,"1995-02-13 17:00:00",-64.77917,-64.07167,44,b,27,3,50.32,15.57,
PAL9495,,"1995-02-13 17:00:00",-64.77917,-64.07167,44,b,11,6.5,41.77,17.92,
PAL9495,,"1995-02-13 17:00:00",-64.77917,-64.07167,44,b,5,12,29.87,13.69,
PAL9495,,"1995-02-13 17:00:00",-64.77917,-64.07167,44,b,2,19.5,16.69,0.05,
PAL9495,,"1995-02-13 16:00:00",-64.80862,-64.04972,44,d,100,1,43.93,5,
PAL9495,,"1995-02-13 16:00:00",-64.80862,-64.04972,44,d,55,5,39.73,20.29,
PAL9495,,"1995-02-13 16:00:00",-64.80862,-64.04972,44,d,27,11,50.88,3.55,
PAL9495,,"1995-02-13 16:00:00",-64.80862,-64.04972,44,d,11,18,36.95,13.94,
PAL9495,,"1995-02-13 16:00:00",-64.80862,-64.04972,44,d,5,25.5,21.17,5.69,
PAL9495,,"1995-02-13 15:00:00",-64.81612,-64.04028,44,e,100,1,37.47,4.62,
PAL9495,,"1995-02-13 15:00:00",-64.81612,-64.04028,44,e,55,4,47.72,0.25,
PAL9495,,"1995-02-13 15:00:00",-64.81612,-64.04028,44,e,27,9.5,36.18,8.46,
PAL9495,,"1995-02-13 15:00:00",-64.81612,-64.04028,44,e,11,18,30.48,1.9,
PAL9495,,"1995-02-13 15:00:00",-64.81612,-64.04028,44,e,5,24.5,27.11,0.6,
PAL9495,,"1995-02-13 15:00:00",-64.81612,-64.04028,44,e,2,34.5,13.08,0.57,
PAL9495,,"1995-02-16 15:20:00",-64.77972,-64.07195,47,b,100,1,12.15,1.45,
PAL9495,,"1995-02-16 15:20:00",-64.77972,-64.07195,47,b,55,3,30.33,7.75,
PAL9495,,"1995-02-16 15:20:00",-64.77972,-64.07195,47,b,27,6,78.05,15.35,
PAL9495,,"1995-02-16 15:20:00",-64.77972,-64.07195,47,b,11,10.5,70.66,11.83,
PAL9495,,"1995-02-16 15:20:00",-64.77972,-64.07195,47,b,5,14,35.27,0.1,
PAL9495,,"1995-02-16 15:20:00",-64.77972,-64.07195,47,b,2,20.5,12.38,0.26,
PAL9495,,"1995-02-16 14:45:00",-64.78833,-64.0725,47,c,100,1,17.67,1.6,
PAL9495,,"1995-02-16 14:45:00",-64.78833,-64.0725,47,c,55,2.5,42.07,4.37,
PAL9495,,"1995-02-16 14:45:00",-64.78833,-64.0725,47,c,27,5,91.79,0.33,
